data,preco_reais
2026-02-23,349.75
2026-02-24,350.10
2026-02-25,351.00
2026-02-26,352.80
2026-02-27,353.15
2026-03-02,353.10
2026-03-03,350.50
2026-03-04,348.65
2026-03-05,347.30
2026-03-06,346.05
2026-03-09,347.40
2026-03-10,346.80
2026-03-11,347.25
2026-03-12,347.50
2026-03-13,346.60
